,SerialNo,StateID,CandidateName,Gender,Age,PoliticalPartyName,DistrictName,CenterConstID,TotalVotesReceived,EStatus,Rank
0,1322.0,4,रविन्द्र प्रसाद अधिकारी,पुरुष,49,नेपाल कम्युनिष्ट पार्टी (एमाले),कास्की,2,27207.0,Elected,1
1,1323.0,4,देव राज चालिसे,पुरुष,57,नेपाली काँग्रेस,कास्की,2,18661.0,Not Elected,2
2,1324.0,4,श्रीकृष्‍ण श्रेष्ठ,पुरुष,38,विवेकशील साझा पार्टी,कास्की,2,843.0,Not Elected,3
3,1325.0,4,टेकनाथ भण्डारी,पुरुष,43,नेपाल कम्युनिष्ट पार्टी (माले) ,कास्की,2,539.0,Not Elected,4
4,1326.0,4,रत्‍न भट्टचन,महिला,63,संघीय समाजवादी फोरम नेपाल,कास्की,2,340.0,Not Elected,5
5,1327.0,4,दिपक भण्डारी,पुरुष,40,नयाँ शक्ति पार्टी नेपाल,कास्की,2,283.0,Not Elected,6
6,1328.0,4,ज्ञान राज गुरुङ्ग,पुरुष,48,मंगोल नेशनल अर्गनाइजेसन,कास्की,2,130.0,Not Elected,7
7,1329.0,4,निर्मल खत्री,पुरुष,46,स्वतन्त्र,कास्की,2,111.0,Not Elected,8
8,1330.0,4,दाल कुमारी खत्री,महिला,48,राष्ट्रिय जनमोर्चा,कास्की,2,108.0,Not Elected,9
9,1331.0,4,कर्ण बहादुर पुन,पुरुष,57,देशभक्त जनगणतान्त्रिक मोर्चा नेपाल,कास्की,2,82.0,Not Elected,10
10,1332.0,4,लक्ष्मी बिश्वकर्मा,महिला,51,नेपाल दलित पार्टी,कास्की,2,65.0,Not Elected,11
11,1333.0,4,उमा दर्लामी,महिला,36,राष्ट्रिय जनमुक्ति पार्टी,कास्की,2,51.0,Not Elected,12
12,1334.0,4,बाल कुमार राई,पुरुष,25,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,कास्की,2,21.0,Not Elected,13
